Concrete Column ID,Cut off level (mPD),"Alluvium Bottom
(mPD)","Embedded Depth in CD Material 
(m)","Tentative Concrete Column Bottom level 
(mPD)","Concrete Column Length 
(m)","Subbase Height
(500mm)","Foundation level
(mPD)",Actual Founding level,"Casing Top Level
(mPD)","Measuring Depth
(m)","Casing toe in level
(mPD)","Actual Toe Level
(mPD)","Drill Start Date 
(DD/MM/YYYY)","Drill Completed Date
(DD/MM/YYYY)","Concrete Date
(DD/MM/YYYY)",column drilled,Completed,Construction_Stage,X_Coord,Y_Coord
BH12_2_C1,-0.205,-26.3,22.7,-53.21,53.005,0.5,-53.71,,,,,,,,,,,Not Started,119.3320637381369,27.031756080505325
BH12_2_C2,-0.205,-26.5,21.5,-52.01,51.805,0.5,-52.51,,,,,,,,,,,Not Started,118.62809419064338,31.871495074910328
BH12_2_C3,-0.205,-27.1,18.9,-49.41,49.205,0.5,-49.91,,,,,,,,,,,Not Started,121.97242505491158,36.30456668613308
BH12_2_C4,-0.205,-26.0,24.0,-50.0,49.795,0.5,-50.5,,,,,,,,,,,Not Started,119.14051996016154,48.79260397312673
BH12_2_C5,-0.205,-26.2,23.8,-50.0,49.795,0.5,-50.5,,,,,,,,,,,Not Started,118.68560705812429,25.815017415059767
BH12_2_C6,-0.205,-26.8,21.2,-48.0,47.795,0.5,-48.5,,,,,,,,,,,Not Started,120.25617649894949,16.1478236470623
BH12_2_C7,-0.205,-26.0,24.0,-50.0,49.795,0.5,-50.5,,,,,,,,,,,Not Started,117.84554534984858,39.759309738435185
BH12_2_C8,-0.205,-26.4,23.6,-50.0,49.795,0.5,-50.5,,,,,,,,,,,Not Started,121.81318188452424,13.541612563103712
BH12_2_C9,-0.205,-27.1,21.9,-49.0,48.795,0.5,-49.5,,,,,,,,,,,Not Started,117.44730386207863,21.948571035281805
BH12_2_C10,-0.205,-26.8,23.2,-50.0,49.795,0.5,-50.5,,,,,,,,,,,Not Started,122.9213216196031,3.9228190671132976
BH12_2_C11,-0.205,-27.0,22.0,-49.0,48.795,0.5,-49.5,,,,,,,,,,,Not Started,121.63346861577995,1.2675371707728755
BH12_2_C12,-0.205,-27.9,20.1,-48.0,47.795,0.5,-48.5,,,,,,,,,,,Not Started,118.19229408920503,48.132420733896254
BH13_1_C1,0.875,-43.0,4.0,-47.0,47.875,0.5,-47.5,,,,,,,,,,,Not Started,127.03313270274161,41.79900602561029
BH13_1_C2,0.125,-44.2,3.8,-48.0,48.125,0.5,-48.5,,,,,,,,,,,Not Started,131.892768570729,34.798710304684896
BH13_1_C3,0.125,-44.5,3.5,-48.0,48.125,0.5,-48.5,,,,,,,,,,,Not Started,131.2411440630857,20.447647220713495
BH13_1_C4,0.875,-43.0,3.0,-46.0,46.875,0.5,-46.5,,,,,,,,,,,Not Started,131.37404300824593,8.664716003542289
BH13_1_C5,0.875,-40.0,3.0,-43.0,43.875,0.5,-43.5,,,,,,,,,,,Not Started,131.62762208011569,7.8218521335543025
BH13_1_C6,0.875,-41.0,5.0,-46.0,46.875,0.5,-46.5,,,,,,,,,,,Not Started,127.44426791040455,12.512144908229766
BH13_1_C7,0.125,-44.7,3.3,-48.0,48.125,0.5,-48.5,,,,,,,,,,,Not Started,129.15079437126565,27.461333235306025
BH13_1_C8,0.125,-45.0,4.0,-49.0,49.125,0.5,-49.5,,,,,,,,,,,Not Started,127.69521435715077,35.72979613500312
BH13_1_C9,0.875,-44.0,3.0,-47.0,47.875,0.5,-47.5,,,,,,,,,,,Not Started,132.17862055525356,33.009868835886564
BH13_1_C10,0.875,-40.4,3.6,-44.0,44.875,0.5,-44.5,,,,,,,,,,,Not Started,130.73978876096535,13.996694847297142
BH13_2_C1,0.875,-35.0,3.0,-38.0,38.875,0.5,-38.5,,,,,,,,,,,Not Started,128.9853881491159,47.743264033159704
BH13_2_C2,0.875,-40.0,3.0,-43.0,43.875,0.5,-43.5,,,,,,,,,,,Not Started,127.38135010171614,36.89484583478843
BH13_2_C3,0.875,-44.0,3.0,-47.0,47.875,0.5,-47.5,,,,,,,,,,,Not Started,128.86589393029396,27.717702625570034
BH13_2_C4,0.875,-43.0,3.0,-46.0,46.875,0.5,-46.5,,,,,,,,,,,Not Started,128.95109993216047,30.58603731171761
BH13_2_C5,0.875,-39.9,3.1,-43.0,43.875,0.5,-43.5,,,,,,,,,,,Not Started,131.37763707002838,20.980003121389494
BH13_2_C6,0.875,-30.8,3.2,-34.0,34.875,0.5,-34.5,,,,,,,,,,,Not Started,130.82534482813128,12.386549475057873
BH13_2_C7,0.875,-35.8,3.2,-39.0,39.875,0.5,-39.5,,,,,,,,,,,Not Started,132.32327645545797,17.798633932563078
BH13_2_C8,0.875,-40.5,3.5,-44.0,44.875,0.5,-44.5,,,,,,,,,,,Not Started,129.8332895509717,37.892305523218454
BH13_2_C9,0.875,-41.0,3.0,-44.0,44.875,0.5,-44.5,,,,,,,,,,,Not Started,127.71756547562981,0.7196744314877934
BH13_2_C10,0.875,-38.2,3.8,-42.0,42.875,0.5,-42.5,,,,,,,,,,,Not Started,131.27946872333797,5.803632025345812
BH14_1_C1,0.875,-38.0,3.0,-41.0,41.875,0.5,-41.5,,,,,,,,,,,Not Started,141.56471029170137,2.3001321010876374
BH14_1_C2,0.875,-41.6,3.4,-45.0,45.875,0.5,-45.5,,,,,,,,,,,Not Started,140.36766318541697,2.0364401159485066
BH14_1_C3,0.875,-38.0,4.0,-42.0,42.875,0.5,-42.5,,,,,,,,,,,Not Started,141.62580307972738,42.77302920055036
BH14_1_C4,0.875,-41.0,4.0,-45.0,45.875,0.5,-45.5,,,,,,,,,,,Not Started,139.96277357818636,35.18289296900118
BH14_2_C1,0.875,-34.5,3.5,-38.0,38.875,0.5,-38.5,,,,,,,,,,,Not Started,140.13639697629196,23.70869145436626
BH14_2_C2,0.875,-33.0,5.0,-38.0,38.875,0.5,-38.5,,,,,,,,,,,Not Started,139.5652461101513,4.891708032550074
BH14_2_C3,0.875,-31.5,5.5,-37.0,37.875,0.5,-37.5,,,,,,,,,,,Not Started,137.15251476046458,24.58079375584162
BH14_2_C4,0.875,-29.0,10.0,-39.0,39.875,0.5,-39.5,,,,,,,,,,,Not Started,137.64734856195983,23.673588539028284
BH15_C1,0.375,-27.1,3.9,-31.0,31.375,0.5,-31.5,,,,,,,,,,,Not Started,147.1885751141204,8.660093495500758
BH15_C2,0.375,-26.5,8.5,-35.0,35.375,0.5,-35.5,,,,,,,,,,,Not Started,150.8184624675827,21.692582461898652
BH15_C3,0.875,-28.8,5.2,-34.0,34.875,0.5,-34.5,,,,,,,,,,,Not Started,148.88613588645796,19.92523671986867
BH15_C4,0.875,-33.4,3.6,-37.0,37.875,0.5,-37.5,,,,,,,,,,,Not Started,150.0514241469882,30.792504902610823
BH15_C5,0.375,-31.5,3.5,-35.0,35.375,0.5,-35.5,,,,,,,,,,,Not Started,152.44539884355655,31.75468254338219
BH15_C6,0.375,-31.5,5.5,-37.0,37.375,0.5,-37.5,,,,,,,,,,,Not Started,148.49575337489324,2.265200488602226
BH15_C7,0.875,-32.2,4.8,-37.0,37.875,0.5,-37.5,,,,,,,,,,,Not Started,149.4622975382138,18.73063073132356
BH15_C8,0.875,-35.0,4.0,-39.0,39.875,0.5,-39.5,,,,,,,,,,,Not Started,151.5333068312583,31.29299578571182
BH16_C1,0.875,-36.5,3.5,-40.0,40.875,0.5,-40.5,,,,,,,,,,,Not Started,158.37278899294972,25.156812929004385
BH16_C2,0.875,-37.0,3.0,-40.0,40.875,0.5,-40.5,,,,,,,,,,,Not Started,157.46187945897276,42.824492059416116
BH16_C3,0.875,-36.0,3.0,-39.0,39.875,0.5,-39.5,,,,,,,,,,,Not Started,158.7385087174826,32.93468158094725
BH16_C4,0.875,-34.5,3.5,-38.0,38.875,0.5,-38.5,,,,,,,,,,,Not Started,157.96732772352402,8.146721354071484
BH16_C5,0.875,-40.8,3.2,-44.0,44.875,0.5,-44.5,,,,,,,,,,,Not Started,162.57818591405544,3.528437370021492
BH16_C6,0.875,-41.0,3.0,-44.0,44.875,0.5,-44.5,,,,,,,,,,,Not Started,161.8487222773865,32.12096391031578
BH16_C7,0.875,-37.9,3.1,-41.0,41.875,0.5,-41.5,,,,,,,,,,,Not Started,160.80042253906254,1.3255655270810907
BH16_C8,0.875,-34.5,3.5,-38.0,38.875,0.5,-38.5,,,,,,,,,,,Not Started,162.2287635411263,29.288779063673164
BH16_C9,0.875,-41.0,3.0,-44.0,44.875,0.5,-44.5,,,,,,,,,,,Not Started,161.82203246139468,47.01151207124788
BH16_C10,0.875,-40.0,3.0,-43.0,43.875,0.5,-43.5,,,,,,,,,,,Not Started,158.1194203533162,28.77370889379395
BH16_C11,0.875,-37.5,3.5,-41.0,41.875,0.5,-41.5,,,,,,,,,,,Not Started,162.35535399093988,19.408496310326097
BH16_C12,0.875,-33.2,3.8,-37.0,37.875,0.5,-37.5,,,,,,,,,,,Not Started,160.23605345149392,32.16441092211766
